School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
CA School 156,Woodland Joint Unified,Woodland,95776,Yolo County,Yes,No,No,No,1544,72.3,21.3,0.55,0.01,0,0.09,0.68,0.01,0.03,0.19
CA School 157,San Juan Unified,Sacramento,95821,Sacramento County,No,No,No,No,1320,56.1,23.5,0.47,0.09,0.01,0.06,0.26,0.01,0.07,0.5
CA School 158,JCS - Pine Hills District,Temecula,92592,Riverside County,(n/a),Yes,No,No,709,41.2,17.1,0.18,0.04,0.02,0.03,0.26,0,0.09,0.57
CA School 159,Sutter Union High,Sutter,95982,Sutter County,Yes,No,No,No,737,31.3,23.5,0.32,0,0.02,0.04,0.25,0,0.04,0.65
CA School 160,Aspire Langston Hughes Academy District,Stockton,95205,San Joaquin County,Yes,Yes,No,No,756,33.2,22.7,0.71,0.14,0.01,0.08,0.67,0,0.04,0.06
CA School 161,Hanford Joint Union High,Hanford,93230,Kings County,Yes,No,No,No,1559,63.8,24.4,0.67,0.04,0,0.01,0.68,0,0.01,0.25
CA School 162,Kerman Unified,Kerman,93630,Fresno County,Yes,No,No,No,1528,61,25,0.76,0.01,0,0.06,0.83,0,0.01,0.09
CA School 163,Gilroy Unified,Gilroy,95020,Santa Clara County,No,No,No,No,1629,70.9,22.9,0.41,0.02,0.01,0.08,0.6,0,0.06,0.24
CA School 164,Futures High District,Sacramento,95838,Sacramento County,Yes,Yes,No,No,372,18,20.6,0.91,0.01,0,0.02,0.09,0,0.01,0.86
CA School 165,Long Valley District,Doyle,96109,Lassen County,Yes,Yes,No,No,232,10.1,22.8,0.6,0.01,0.03,0.01,0.14,0,0.08,0.72
CA School 166,Santa Ana Unified,Santa Ana,92704,Orange County,Yes,No,No,No,2449,95.7,25.5,0.86,0,0,0.01,0.98,0,0,0
CA School 167,Anderson Union High,Anderson,96007,Shasta County,Yes,No,No,No,538,24.9,21.6,0.65,0.03,0.07,0.07,0.25,0.01,0.03,0.55
CA School 168,John Henry High District,Richmond,94804,Contra Costa County,Yes,Yes,No,No,320,,,0.84,0.03,0,0.02,0.95,0,0,0
CA School 169,Bellflower Unified,Lakewood,90713,Los Angeles County,No,No,No,No,2889,124.3,23.2,0.57,0.15,0,0.11,0.53,0.01,0.04,0.15
CA School 170,Azusa Unified,Covina,91722,Los Angeles County,Yes,No,No,No,1084,48.4,22.3,0.79,0.01,0,0.02,0.93,0,0.01,0.03
CA School 171,Sanger Unified,Sanger,93657,Fresno County,Yes,No,No,No,3102,124.5,24.9,0.7,0.01,0,0.13,0.74,0,0.02,0.11
CA School 172,High Technical High District,San Diego,92106,San Diego County,Yes,Yes,No,No,525,33,15.9,0.43,0.05,0.01,0.07,0.47,0,0.07,0.34
CA School 173,South San Francisco Unified,South San Francisco,94080,San Mateo County,No,No,No,No,1321,61.8,21.3,0.44,0.01,0,0.31,0.57,0.02,0.04,0.04
CA School 174,Clovis Unified,Clovis,93611,Fresno County,No,No,No,No,74,5.7,12.9,0.46,0.04,0.01,0.08,0.32,0,0.05,0.49
CA School 175,Hilmar Unified,Hilmar,95324,Merced County,No,No,No,No,696,32.2,21.5,0.53,0.01,0,0.01,0.43,0,0.01,0.54
CA School 176,San Diego Unified,San Diego,92101,San Diego County,Yes,No,No,No,110,8,13.7,0.85,0.06,0,0.06,0.79,0,0.04,0.06
CA School 177,Pajaro Valley Unified,Watsonville,95076,Santa Cruz County,Yes,Yes,No,No,75,5,15,0.89,0.01,0,0.04,0.8,0,0,0.15
CA School 178,Glendale Unified,Glendale,91205,Los Angeles County,Yes,No,No,No,2174,93,23.3,0.73,0.01,0,0.13,0.34,0,0.01,0.51
CA School 179,Encore High School for the Arts - Riverside District,Riverside,92501,Riverside County,Yes,Yes,No,No,872,29.3,29.7,0.31,0.14,0.01,0.02,0.44,0,0.04,0.36
CA School 180,San Bernardino City Unified,San Bernardino,92407,San Bernardino County,Yes,No,Yes,No,2812,107,26.2,0.74,0.14,0,0.02,0.68,0.01,0.02,0.12
CA School 181,West Contra Costa Unified,El Cerrito,94530,Contra Costa County,No,No,No,No,1506,61.8,24.3,0.42,0.19,0,0.21,0.27,0.01,0.03,0.3
CA School 182,Colusa Unified,Colusa,95932,Colusa County,No,No,No,No,398,22.5,17.6,0.58,0,0.02,0.01,0.69,0,0,0.28
CA School 183,Marysville Joint Unified,Marysville,95901,Yuba County,Yes,No,No,No,938,43.1,21.7,0.68,0.05,0.05,0.07,0.31,0.01,0.04,0.48
CA School 184,Los Angeles Unified,Los Angeles,90025,Los Angeles County,Yes,Yes,No,No,1511,67.5,22.3,0.74,0.25,0,0.09,0.53,0,0,0.13
CA School 185,John Swett Unified,Crockett,94525,Contra Costa County,Yes,No,No,No,453,23,19.6,0.49,0.16,0,0.25,0.33,0,0.08,0.18
CA School 186,Central Union High,El Centro,92243,Imperial County,Yes,No,No,No,1851,86.6,21.3,0.77,0.01,0,0,0.96,0,0,0.03
CA School 187,Los Angeles Unified,Granada Hills,91344,Los Angeles County,Yes,No,Yes,No,2349,98.8,23.7,0.75,0.03,0,0.06,0.81,0,0,0.1
CA School 188,Templeton Unified,Templeton,93465,San Luis Obispo County,Yes,No,No,No,71,4,17.7,0.31,0,0,0.01,0.2,0,0.14,0.65
CA School 189,Woodlake Unified,Woodlake,93286,Tulare County,Yes,No,No,No,657,29.5,22.2,0.85,0,0,0.01,0.9,0,0,0.09
CA School 190,Los Angeles Unified,Chatsworth,91311,Los Angeles County,Yes,Yes,No,No,1758,80.3,21.8,0.66,0.06,0,0.13,0.65,0,0,0.15
CA School 191,Alliance Susan and Eric Smidt Technology High District,Los Angeles,90031,Los Angeles County,Yes,Yes,No,No,541,30.3,17.8,0.9,0.02,0,0.02,0.94,0,0.01,0
CA School 192,Fallbrook Union High,Fallbrook,92028,San Diego County,Yes,No,No,No,1981,92.4,21.4,0.59,0.01,0.01,0.02,0.68,0,0.03,0.26
CA School 193,Delano Joint Union High,Delano,93215,Kern County,Yes,No,No,No,1239,56,22,0.94,0.01,0,0.08,0.91,0,0,0.01
CA School 194,Rialto Unified,Rialto,92376,San Bernardino County,Yes,No,No,No,2711,115,23.5,0.92,0.05,0,0.02,0.9,0,0,0.02
CA School 195,Audeo Charter District,San Diego,92121,San Diego County,Yes,Yes,No,No,518,19.7,26.2,0.6,0.11,0,0.02,0.51,0,0.1,0.25
CA School 196,Los Angeles Unified,Los Angeles,90034,Los Angeles County,Yes,No,Yes,No,2602,111,23.4,0.65,0.26,0,0.05,0.52,0,0,0.16
CA School 197,Alvord Unified,Riverside,92503,Riverside County,No,No,No,No,1638,66.5,24.6,0.58,0.06,0,0.1,0.63,0,0.03,0.18
CA School 198,Napa Valley Unified,Napa,94558,Napa County,No,No,No,No,1801,78.1,23,0.4,0.01,0,0.02,0.51,0,0.05,0.42
CA School 199,Da Vinci Design District,Hawthorne,90250,Los Angeles County,Yes,Yes,No,No,573,27.3,20.9,0.5,0.16,0,0.02,0.67,0.01,0.08,0.08
CA School 200,Anaheim Union High,Anaheim,92804,Orange County,Yes,No,No,No,1994,75,26.5,0.81,0.02,0,0.12,0.78,0.01,0.01,0.07
CA School 201,Mirus Secondary District,Hesperia,92345,San Bernardino County,Yes,Yes,No,No,214,8,26.7,0.64,0.05,0,0.02,0.69,0,0.05,0.19
CA School 202,Sweetwater Union High,Chula Vista,91911,San Diego County,Yes,No,No,No,111,8.3,13.3,0.78,0.01,0.01,0.07,0.73,0,0.04,0.14
CA School 203,Silver Oak High Public Montessori Charter District,Hayward,94541,Alameda County,Yes,Yes,No,No,218,11.1,19.6,0.6,0.04,0.01,0.11,0.62,0.01,0.05,0.17
CA School 204,Calexico Unified,Calexico,92231,Imperial County,Yes,No,No,No,3031,121.6,24.9,0.83,0,0,0,0.99,0,0,0
CA School 205,PUC Early College Academy for Leaders&Scholars(ECALS) Distr,Los Angeles,90065,Los Angeles County,Yes,Yes,No,No,347,21,16.5,0.67,0.01,0,0.04,0.92,0,0.02,0.01
CA School 206,San Bernardino City Unified,San Bernardino,92405,San Bernardino County,Yes,No,Yes,No,1593,79,20.1,0.92,0.09,0,0.01,0.84,0,0.01,0.04
CA School 207,Animo Jackie Robinson High District,Los Angeles,90007,Los Angeles County,Yes,Yes,No,No,611,32,19,0.98,0.04,0,0,0.94,0,0.01,0.01
CA School 208,Los Angeles Unified,Tujunga,91042,Los Angeles County,Yes,No,Yes,No,1297,62.3,20.8,0.75,0.03,0,0.07,0.58,0,0,0.32
CA School 209,Norwalk-La Mirada Unified,La Mirada,90638,Los Angeles County,No,No,No,No,1982,86.6,22.8,0.55,0.02,0,0.1,0.68,0.01,0.02,0.17
CA School 210,Glendale Unified,La Crescenta,91214,Los Angeles County,Yes,No,No,No,122,3,40.6,0.45,0.03,0,0.13,0.19,0,0.05,0.61
CA School 211,Newport-Mesa Unified,Costa Mesa,92627,Orange County,Yes,No,No,No,1268,54.2,23.3,0.73,0.01,0,0.04,0.77,0.01,0.01,0.17
CA School 212,Mt. Diablo Unified,Concord,94521,Contra Costa County,No,No,No,No,1385,69.5,19.9,0.53,0.04,0,0.12,0.51,0.01,0.04,0.29
CA School 213,San Jose Unified,San Jose,95126,Santa Clara County,Yes,No,No,No,1805,78.2,23,0.54,0.03,0,0.05,0.74,0.01,0.03,0.14
CA School 214,Santa Ana Unified,Santa Ana,92704,Orange County,Yes,No,No,No,2435,89.3,27.2,0.68,0,0,0.07,0.9,0,0.01,0.01
CA School 215,Antioch Unified,Antioch,94531,Contra Costa County,No,No,No,No,1986,81.5,24.3,0.6,0.31,0.01,0.14,0.34,0.01,0.06,0.14
CA School 216,Los Angeles Unified,Bell,90201,Los Angeles County,Yes,No,Yes,No,2395,98.8,24.2,0.92,0,0,0,0.96,0,0,0.03
CA School 217,Health Sciences High District,San Diego,92105,San Diego County,Yes,Yes,No,No,575,27.5,20.9,0.7,0.2,0,0.05,0.67,0,0.04,0.05
CA School 218,El Monte Union High,El Monte,91732,Los Angeles County,Yes,No,No,No,1347,68,19.7,0.93,0,0,0.06,0.93,0,0,0
CA School 219,Rowland Unified,La Puente,91744,Los Angeles County,Yes,No,No,No,1891,82.5,22.9,0.86,0.01,0,0.1,0.86,0,0.01,0.02
CA School 220,Holtville Unified,Holtville,92250,Imperial County,Yes,No,No,No,528,26.5,19.9,0.72,0,0,0,0.87,0,0.02,0.11
CA School 221,Accelerated Achievement Academy District,Ukiah,95482,Mendocino County,Yes,Yes,No,No,146,7,20.8,0.86,0,0.06,0.01,0.46,0,0.08,0.4
CA School 222,Corcoran Joint Unified,Corcoran,93212,Kings County,Yes,No,No,No,864,40,21.5,0.83,0.03,0,0.01,0.89,0,0,0.07
CA School 223,North Monterey County Unified,Castroville,95012,Monterey County,Yes,No,No,No,1263,55.9,22.5,0.81,0.01,0,0.02,0.85,0,0,0.12
CA School 224,Los Angeles Unified,Los Angeles,90028,Los Angeles County,Yes,No,Yes,No,1481,62,23.8,0.86,0.12,0,0.08,0.68,0,0,0.12
CA School 225,Hayward Unified,Hayward,94545,Alameda County,Yes,No,No,No,1979,85.2,23.2,0.65,0.08,0.01,0.28,0.55,0.04,0.02,0.04
CA School 226,Woodland Joint Unified,Woodland,95695,Yolo County,Yes,No,No,No,1325,68.9,19.2,0.59,0.01,0.01,0.03,0.71,0.01,0.02,0.2
CA School 227,San Bernardino City Unified,San Bernardino,92411,San Bernardino County,Yes,No,Yes,No,2621,100,26.1,0.94,0.05,0,0.01,0.9,0.01,0.01,0.01
CA School 228,Desert Sands Unified,Indio,92201,Riverside County,No,No,No,No,2087,77.5,26.8,0.63,0.02,0,0.02,0.8,0,0.02,0.14
CA School 229,Brawley Union High,Brawley,92227,Imperial County,Yes,No,No,No,1771,71.8,24.6,0.76,0.01,0,0.01,0.93,0,0,0.06
CA School 230,Pivot Charter School - San Diego II District,San Marcos,92078,San Diego County,(n/a),Yes,No,Yes,115,43.2,2.6,0.44,0.04,0.02,0.03,0.3,0,0.07,0.55
CA School 231,Vista Unified,Vista,92084,San Diego County,Yes,No,No,No,2360,127.6,18.4,0.66,0.02,0.01,0.02,0.77,0.01,0.03,0.16
CA School 232,Napa Valley Unified,Napa,94558,Napa County,No,No,No,No,1892,83.5,22.6,0.52,0.01,0,0.01,0.66,0,0.03,0.28
CA School 233,Ceres Unified,Ceres,95307,Stanislaus County,Yes,No,No,No,1744,81.4,21.4,0.8,0.02,0.01,0.05,0.76,0.01,0.01,0.15
CA School 234,Riverbank Unified,Riverbank,95367,Stanislaus County,Yes,No,No,No,756,34,22.2,0.77,0.01,0,0.01,0.84,0,0.01,0.13
CA School 235,Chawanakee Unified,O Neals,93645,Madera County,No,Yes,No,No,324,12.9,25,0.35,0.02,0.02,0.01,0.25,0,0.05,0.66
CA School 236,Alliance Cindy and Bill Simon Technology Academy High Distr,Los Angeles,90059,Los Angeles County,Yes,Yes,No,No,508,27.7,18.3,0.97,0.1,0,0,0.89,0,0,0.01
CA School 237,Oxnard Union High,Oxnard,93036,Ventura County,Yes,No,No,No,3099,125.6,24.6,0.73,0.01,0,0.03,0.94,0,0.01,0.01
CA School 238,Manteca Unified,Stockton,95206,San Joaquin County,Yes,No,No,No,1191,62.4,19,0.68,0.17,0.01,0.21,0.51,0.01,0.03,0.07
CA School 239,Options for Youth San Gabriel District,San Gabriel,91776,Los Angeles County,(n/a),Yes,No,No,689,44.7,15.4,0.53,0.05,0.01,0.02,0.35,0,0.36,0.2
CA School 240,East Side Union High,San Jose,95122,Santa Clara County,Yes,No,Yes,No,1438,70.4,20.4,0.77,0.02,0,0.15,0.8,0.01,0.01,0.01
CA School 241,Modesto City High,Modesto,95351,Stanislaus County,Yes,No,No,No,2514,100.3,25,0.78,0.03,0,0.09,0.72,0.01,0.05,0.11
CA School 242,Los Angeles Unified,Maywood,90270,Los Angeles County,Yes,No,No,No,1225,51,24,0.92,0,0,0.01,0.98,0,0,0.01
CA School 243,Manteca Unified,Manteca,95336,San Joaquin County,Yes,No,No,No,1663,80.9,20.5,0.54,0.05,0.01,0.12,0.55,0.01,0.02,0.24
CA School 244,Merced County Office of Education,Merced,95341,Merced County,Yes,Yes,No,No,129,7.3,17.5,0.66,0.05,0.02,0.02,0.66,0.01,0.05,0.19
CA School 245,Delhi Unified,Delhi,95315,Merced County,Yes,No,No,No,769,33,23.3,0.83,0.01,0,0.03,0.87,0,0.01,0.08
CA School 246,Siskiyou Union High,Weed,96094,Siskiyou County,Yes,No,No,No,195,11.1,17.5,0.56,0.04,0.01,0.04,0.23,0,0.15,0.53
CA School 247,Oxnard Union High,Oxnard,93030,Ventura County,Yes,No,No,No,2229,97.2,22.9,0.64,0.03,0,0.06,0.8,0,0.02,0.09
CA School 248,Elk Grove Unified,Sacramento,95828,Sacramento County,Yes,No,No,No,1548,81.9,18.8,0.92,0.12,0,0.41,0.36,0.03,0.03,0.05
CA School 249,Covina-Valley Unified,Covina,91722,Los Angeles County,No,No,No,No,1247,54.7,22.7,0.74,0.03,0,0.06,0.86,0,0.01,0.05
CA School 250,Modesto City High,Modesto,95355,Stanislaus County,Yes,No,No,No,1654,67.3,24.5,0.55,0.03,0,0.06,0.42,0.01,0.09,0.39
CA School 251,ACE Charter High District,San Jose,95133,Santa Clara County,Yes,Yes,No,No,363,14,25.8,0.76,0.01,0,0.02,0.97,0,0,0
CA School 252,Del Norte County Unified,Crescent City,95531,Del Norte County,Yes,No,No,No,934,41.8,22.3,0.59,0.01,0.14,0.07,0.24,0,0.05,0.49
CA School 253,Lone Pine Unified,Lone Pine,93545,Inyo County,No,No,No,No,89,4.6,19.3,0.51,0,0.17,0.02,0.53,0,0.05,0.24
CA School 254,Folsom-Cordova Unified,Rancho Cordova,95670,Sacramento County,Yes,No,Yes,No,1855,88.6,20.9,0.67,0.11,0.01,0.11,0.35,0.02,0.07,0.35
CA School 255,Fortuna Union High,Fortuna,95540,Humboldt County,Yes,No,No,No,857,41.1,20.8,0.5,0,0.03,0.01,0.27,0,0.07,0.62
CA School 256,Venture Academy District,Stockton,95206,San Joaquin County,(n/a),Yes,No,No,1590,80.5,19.7,0.58,0.06,0.01,0.03,0.67,0,0.05,0.19
CA School 257,Livermore Valley Joint Unified,Livermore,94550,Alameda County,No,No,No,No,136,14.8,9.1,0.3,0.03,0.01,0.03,0.32,0,0.1,0.52
CA School 258,Los Angeles Unified,Reseda,91335,Los Angeles County,Yes,Yes,Yes,No,1362,75.3,18,0.83,0.06,0,0.09,0.71,0,0,0.14
CA School 259,Mission Academy District,Acton,93510,Los Angeles County,(n/a),Yes,No,Yes,106,10,10.6,0.8,0.15,0.04,0.01,0.61,0,0.04,0.15
CA School 260,Cotati-Rohnert Park Unified,Rohnert Park,94928,Sonoma County,No,No,No,No,1505,70.7,21.2,0.38,0.02,0.01,0.03,0.47,0.01,0.09,0.37
CA School 261,Los Angeles Unified,San Fernando,91340,Los Angeles County,Yes,No,Yes,No,434,23.8,18.2,0.85,0.05,0.01,0.02,0.89,0,0,0.03
CA School 262,Kern High,Bakersfield,93308,Kern County,Yes,No,No,No,1829,82.8,22,0.75,0.04,0.01,0.01,0.36,0,0.02,0.56
CA School 263,Salinas Union High,Salinas,93905,Monterey County,Yes,No,No,No,2904,117,24.8,0.84,0,0,0.01,0.98,0,0,0.01
CA School 264,Los Angeles Unified,Los Angeles,90031,Los Angeles County,Yes,No,Yes,No,1066,58.5,18.2,0.94,0.02,0,0.24,0.73,0,0,0.02
CA School 265,Los Angeles Unified,Carson,90745,Los Angeles County,Yes,No,No,No,1499,63.2,23.6,0.71,0.2,0,0.18,0.54,0.05,0,0.03
CA School 266,Big Valley Joint Unified,Bieber,96009,Lassen County,No,No,No,No,66,5.3,12.4,0.65,0,0.03,0,0.18,0,0.03,0.76
CA School 267,Temecula Valley Unified,Temecula,92592,Riverside County,No,No,No,No,247,10.9,22.6,0.24,0,0.01,0.04,0.35,0,0.08,0.51
CA School 268,Animo Ralph Bunche Charter High District,Los Angeles,90011,Los Angeles County,Yes,Yes,No,No,612,28.5,21.4,0.98,0.01,0,0,0.99,0,0,0
CA School 269,Paramount Unified,Paramount,90723,Los Angeles County,Yes,No,No,No,4602,182.6,25.1,0.96,0.08,0,0.01,0.88,0.01,0.01,0.01
CA School 270,Ukiah Unified,Ukiah,95482,Mendocino County,Yes,No,No,No,115,5.9,19.4,0.57,0.02,0.05,0.02,0.19,0,0.05,0.67
CA School 271,ARISE High District,Oakland,94601,Alameda County,Yes,Yes,No,No,317,15.1,20.9,0.72,0.02,0.01,0.04,0.92,0,0.02,0
CA School 272,Palm Springs Unified,Palm Springs,92264,Riverside County,Yes,No,No,No,218,12.6,17.1,0.71,0.07,0.01,0.01,0.6,0.01,0.06,0.26
CA School 273,Hacienda la Puente Unified,La Puente,91744,Los Angeles County,Yes,No,No,No,1071,46.5,23,0.89,0.01,0,0.03,0.95,0,0.01,0.01
CA School 274,Fort Bragg Unified,Fort Bragg,95437,Mendocino County,Yes,No,No,No,512,32.3,15.8,0.61,0.01,0.01,0.01,0.42,0,0.06,0.49
CA School 275,Lodi Unified,Stockton,95210,San Joaquin County,Yes,No,No,No,1822,83.2,21.8,0.78,0.11,0,0.45,0.35,0.02,0.02,0.04
CA School 276,Alliance Morgan McKinzie High District,Los Angeles,90063,Los Angeles County,Yes,Yes,No,No,438,18,24.3,0.93,0,0,0,0.99,0,0,0
CA School 277,Muroc Joint Unified,Boron,93516,Kern County,Yes,No,No,No,237,16.7,14.1,0.58,0.06,0.02,0,0.35,0.01,0.08,0.48
CA School 278,Farmersville Unified,Farmersville,93223,Tulare County,Yes,No,No,No,718,32.5,22,0.91,0,0,0.01,0.95,0,0,0.04
CA School 279,Lighthouse Community Charter High District,Oakland,94621,Alameda County,Yes,Yes,No,No,280,15,18.6,0.79,0.11,0,0.03,0.82,0,0,0.04
CA School 280,Aspire Richmond Ca. College Preparatory Academy District,Richmond,94806,Contra Costa County,Yes,Yes,No,No,541,18.1,29.8,0.66,0.13,0.01,0.1,0.74,0,0.02,0.01
CA School 281,Armona Union Elementary,Hanford,93230,Kings County,Yes,Yes,No,Yes,172,8.2,20.8,0.87,0.04,0.01,0.01,0.67,0,0.03,0.25
CA School 282,Konocti Unified,Lower Lake,95457,Lake County,Yes,No,No,No,870,40.5,21.4,0.77,0.02,0.02,0.01,0.5,0,0.09,0.36
CA School 283,Pomona Unified,Pomona,91767,Los Angeles County,Yes,No,No,No,446,28.6,15.5,0.93,0.04,0,0.02,0.89,0,0.03,0.02
CA School 284,Travis Unified,Fairfield,94533,Solano County,No,No,No,No,66,5,13.2,0.44,0.08,0,0.08,0.33,0,0.11,0.41
CA School 285,Kern High,Bakersfield,93304,Kern County,Yes,No,No,No,2161,85.5,25.2,0.94,0.08,0,0.03,0.83,0,0.01,0.04
CA School 286,Gonzales Unified,Gonzales,93926,Monterey County,Yes,No,No,No,817,36.8,22.1,0.72,0,0.01,0.01,0.97,0,0,0.02
CA School 287,Kern High,Bakersfield,93306,Kern County,Yes,No,No,No,2104,83,25.3,0.86,0.03,0,0.01,0.9,0,0,0.06
CA School 288,Biggs Unified,Biggs,95917,Butte County,No,No,No,No,223,14.2,15.6,0.65,0.03,0.01,0.02,0.39,0,0.01,0.53
CA School 289,Lake Elsinore Unified,Lake Elsinore,92530,Riverside County,No,No,No,No,1840,82,22.4,0.75,0.03,0,0.03,0.73,0,0.03,0.16
CA School 290,West Contra Costa Unified,Richmond,94803,Contra Costa County,Yes,No,No,No,1368,60.8,22.4,0.72,0.22,0,0.19,0.46,0.01,0.03,0.09
CA School 291,Latino College Preparatory Academy District,San Jose,95127,Santa Clara County,Yes,Yes,No,No,410,17.3,23.6,0.82,0,0,0,0.97,0,0.02,0.01
CA School 292,Sweetwater Union High,San Diego,92154,San Diego County,Yes,No,No,No,1775,83,21.3,0.76,0.02,0,0.03,0.94,0,0.01,0.01
CA School 293,Hesperia Unified,Hesperia,92345,San Bernardino County,Yes,No,No,No,2019,90.8,22.2,0.64,0.08,0,0.02,0.76,0,0.01,0.12
CA School 294,Orange Unified,Orange,92867,Orange County,Yes,No,No,No,1727,81.5,21.1,0.74,0.01,0,0.05,0.86,0,0.01,0.06
CA School 295,Bert Corona Charter High District,Pacoima,91331,Los Angeles County,Yes,Yes,No,No,243,14,17.3,0.81,0.01,0,0,0.98,0,0,0
CA School 296,Hemet Unified,Anza,92539,Riverside County,Yes,No,No,No,275,19.9,13.8,0.67,0,0.05,0.03,0.38,0,0.03,0.51
CA School 297,Sacramento City Unified,Sacramento,95823,Sacramento County,Yes,No,No,No,1730,83.9,20.6,0.85,0.22,0,0.28,0.41,0.03,0.02,0.03
CA School 298,Liberty Union High,Brentwood,94513,Contra Costa County,No,No,No,No,250,11.8,21.1,0.21,0.09,0,0.04,0.27,0.02,0.06,0.52
CA School 299,Sonora Union High,Sonora,95370,Tuolumne County,No,No,No,No,49,2,24.5,0.35,0,0.02,0.02,0.14,0.02,0.08,0.71
CA School 300,Animo Pat Brown District,Los Angeles,90001,Los Angeles County,Yes,Yes,No,No,600,28,21.4,0.96,0.01,0,0,0.99,0,0,0.01
CA School 301,Kelseyville Unified,Kelseyville,95451,Lake County,No,No,No,No,518,28.2,18.3,0.76,0,0.02,0,0.42,0.01,0.06,0.48
CA School 302,Los Angeles Unified,San Fernando,91340,Los Angeles County,Yes,No,No,No,339,17.5,19.3,0.91,0.04,0,0,0.94,0,0,0.02
CA School 303,Fairfield-Suisun Unified,Fairfield,94533,Solano County,No,No,No,No,1489,60.3,24.6,0.72,0.21,0.01,0.13,0.45,0.02,0.06,0.11
CA School 304,Inglewood Unified,Inglewood,90301,Los Angeles County,Yes,Yes,No,No,339,12,28.2,0.74,0.55,0.01,0.01,0.43,0,0,0
CA School 305,Kern High,Lake Isabella,93240,Kern County,Yes,No,No,No,480,26.5,18,0.73,0.01,0.03,0.01,0.17,0,0.05,0.74
CA School 306,Borrego Springs Unified,Borrego Springs,92004,San Diego County,Yes,No,No,No,121,8.1,14.8,0.86,0.01,0,0.01,0.84,0,0.01,0.14
CA School 307,New Haven Unified,Union City,94587,Alameda County,Yes,No,No,No,121,5.7,21.2,0.47,0.07,0,0.12,0.63,0.02,0.06,0.1
CA School 308,Moreno Valley Unified,Moreno Valley,92553,Riverside County,Yes,No,No,Yes,172,7,24.5,0.79,0.2,0,0.01,0.6,0.01,0.04,0.14
CA School 309,Warner Unified,Warner Springs,92086,San Diego County,Yes,No,No,No,87,7.1,12.2,0.85,0.02,0.26,0.01,0.35,0,0.07,0.29
CA School 310,Centinela Valley Union High,Lawndale,90260,Los Angeles County,Yes,No,No,No,1925,99.3,19.3,0.84,0.18,0,0.05,0.72,0.02,0.03,0.01
CA School 311,Fresno Unified,Fresno,93726,Fresno County,Yes,No,Yes,No,1092,48.3,22.5,0.9,0.03,0,0.18,0.74,0,0.01,0.04
CA School 312,Visalia Unified,Visalia,93291,Tulare County,Yes,Yes,No,No,546,54.4,10,0.7,0.02,0.01,0.02,0.67,0,0.05,0.23
CA School 313,Merced Union High,Livingston,95334,Merced County,Yes,No,No,No,1243,57.8,21.5,0.8,0.01,0.01,0.11,0.83,0,0,0.04
CA School 314,San Luis Coastal Unified,San Luis Obispo,93405,San Luis Obispo County,Yes,No,No,No,38,2.1,17.5,0.76,0.03,0,0.03,0.45,0,0.03,0.47
