School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
CA School 315,Laton Joint Unified,Laton,93242,Fresno County,Yes,No,No,No,183,14.7,12.4,0.81,0.01,0,0,0.84,0,0.07,0.08
CA School 316,Los Angeles Unified,Los Angeles,90033,Los Angeles County,Yes,No,No,No,1278,65.3,19.5,0.95,0,0,0.01,0.99,0,0,0.01
CA School 317,Envision Academy for Arts & Technology District,Oakland,94612,Alameda County,Yes,Yes,No,No,385,18.5,20.8,0.8,0.33,0.01,0.02,0.56,0.01,0.04,0.04
CA School 318,Los Angeles Unified,Panorama City,91402,Los Angeles County,Yes,No,No,No,1135,50.5,22.4,0.94,0.02,0,0.06,0.89,0,0,0.03
CA School 319,Pleasanton Unified,Pleasanton,94566,Alameda County,Yes,No,No,No,113,11.4,9.9,0.32,0.04,0,0.08,0.27,0,0.05,0.56
CA School 320,Klamath-Trinity Joint Unified,Hoopa,95546,Humboldt County,Yes,No,No,No,243,19.8,12.2,0.95,0,0.83,0,0.07,0.01,0.03,0.07
CA School 321,Perris Union High,Perris,92571,Riverside County,Yes,No,No,No,2245,86.8,25.8,0.86,0.06,0,0.01,0.9,0,0.01,0.02
CA School 322,New Designs Charter School-Watts District,Los Angeles,90061,Los Angeles County,Yes,Yes,No,No,400,10,40,0.93,0.53,0,0,0.46,0.01,0.01,0
CA School 323,Victor Valley Union High,Adelanto,92392,San Bernardino County,Yes,No,No,No,1854,69.8,26.5,0.86,0.23,0,0.01,0.68,0.01,0.03,0.04
CA School 324,Dublin Unified,Dublin,94568,Alameda County,Yes,No,No,No,60,7,8.5,0.35,0.2,0,0.12,0.3,0,0.1,0.28
CA School 325,Lynwood Unified,Lynwood,90262,Los Angeles County,Yes,No,No,No,1693,75.1,22.5,0.89,0.05,0,0,0.94,0,0,0.01
CA School 326,Centinela Valley Union High,Hawthorne,90250,Los Angeles County,Yes,No,No,No,1844,92.3,19.9,0.85,0.1,0,0.02,0.84,0,0.02,0.02
CA School 327,Claremont Unified,Claremont,91711,Los Angeles County,No,No,No,No,58,4.5,12.7,0.66,0.07,0,0.02,0.66,0,0.02,0.24
CA School 328,Mt. Diablo Unified,Concord,94520,Contra Costa County,Yes,No,No,No,1448,72.4,20,0.8,0.08,0,0.12,0.67,0.01,0.04,0.07
CA School 329,Los Angeles Unified,Los Angeles,90003,Los Angeles County,Yes,No,Yes,No,1980,83.8,23.6,0.95,0.09,0,0,0.9,0,0,0.01
CA School 330,Western Placer Unified,Lincoln,95648,Placer County,Yes,No,No,No,100,4.8,20.8,0.47,0.04,0,0.01,0.37,0,0.04,0.54
CA School 331,Victor Valley Union High,Victorville,92395,San Bernardino County,Yes,No,No,No,1829,68.3,26.7,0.91,0.21,0,0.02,0.65,0.01,0.03,0.08
CA School 332,McFarland Unified,Mc Farland,93250,Kern County,Yes,No,No,No,932,43.2,21.5,0.9,0,0,0.01,0.98,0,0,0.01
CA School 333,Walnut Valley Unified,Walnut,91789,Los Angeles County,No,No,No,No,21,3.2,6.5,0.38,0.05,0,0.05,0.71,0,0,0.19
CA School 334,Val Verde Unified,Moreno Valley,92551,Riverside County,Yes,No,No,Yes,116,7,16.5,0.76,0.16,0,0.02,0.63,0.01,0.03,0.15
CA School 335,San Diego Unified,San Diego,92113,San Diego County,Yes,No,No,No,1541,65.7,23.4,0.84,0.19,0,0.05,0.7,0.01,0.03,0.03
CA School 336,Grossmont Union High,Spring Valley,91977,San Diego County,Yes,No,No,No,1298,60.2,21.5,0.79,0.16,0,0.06,0.66,0.01,0.05,0.07
CA School 337,San Bernardino City Unified,San Bernardino,92404,San Bernardino County,Yes,No,No,No,1210,58.1,20.8,0.91,0.15,0,0.01,0.77,0.01,0.02,0.05
CA School 338,Chawanakee Unified,O Neals,93645,Madera County,No,Yes,No,No,262,10.2,25.6,0.47,0.02,0.06,0.02,0.19,0,0.01,0.71
CA School 339,Santa Rosa High,Santa Rosa,95403,Sonoma County,Yes,No,No,No,1388,58.2,23.8,0.52,0.03,0.02,0.06,0.67,0.01,0.04,0.17
CA School 340,West Contra Costa Unified,San Pablo,94806,Contra Costa County,No,No,No,No,253,17.8,14.2,0.73,0.26,0,0.13,0.43,0,0.04,0.15
CA School 341,Palos Verdes Peninsula Unified,Rolling Hills,90274,Los Angeles County,No,No,No,No,47,6,7.8,0.28,0.06,0.02,0.09,0.23,0,0.09,0.51
CA School 342,Shasta County Office of Education,Redding,96003,Shasta County,Yes,No,No,No,123,4.7,26.1,0.67,0.02,0.05,0.02,0.12,0,0.02,0.76
CA School 343,Santa Ana Unified,Santa Ana,92707,Orange County,Yes,No,No,No,1574,72.1,21.8,0.81,0,0,0.02,0.95,0,0,0.02
CA School 344,Williams Unified,Williams,95987,Colusa County,Yes,No,No,No,581,27.6,21,0.9,0,0,0.02,0.95,0,0.01,0.03
CA School 345,Mojave River Academy - Marble City District,Phelan,92371,San Bernardino County,(n/a),Yes,No,No,94,8.4,11.1,0.77,0.02,0.01,0.01,0.61,0,0.01,0.34
CA School 346,Summit Leadership Academy-High Desert District,Hesperia,92345,San Bernardino County,Yes,Yes,No,No,304,22.7,13.3,0.78,0.11,0.01,0,0.7,0,0.05,0.13
CA School 347,Desert Sands Unified,La Quinta,92253,Riverside County,Yes,No,No,No,304,12.3,24.7,0.7,0.03,0,0.01,0.75,0,0.02,0.17
CA School 348,Grossmont Union High,El Cajon,92021,San Diego County,Yes,No,No,No,1689,75.6,22.3,0.93,0.08,0,0.04,0.4,0,0.03,0.45
CA School 349,Corona-Norco Unified,Corona,92879,Riverside County,No,No,No,No,134,4.5,29.7,0.46,0.06,0,0.05,0.55,0,0.01,0.34
CA School 350,Yuba City Charter District,Yuba City,95991,Sutter County,Yes,Yes,No,No,245,17.6,13.8,0.91,0.01,0.02,0.06,0.56,0,0.04,0.3
CA School 351,Bear Valley Unified,Big Bear Lake,92314,San Bernardino County,Yes,No,No,No,41,3,13.4,0.95,0.02,0,0,0.32,0,0.05,0.61
CA School 352,Antelope Valley Union High,Lancaster,93535,Los Angeles County,Yes,No,No,No,2439,99.9,24.4,0.81,0.24,0,0.02,0.63,0,0.05,0.06
CA School 353,Ramona City Unified,Ramona,92065,San Diego County,Yes,No,No,No,137,6.8,20.1,0.5,0.03,0.01,0,0.45,0.01,0.04,0.46
CA School 354,Insight @ San Joaquin District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,257,7.2,35.4,0.63,0.14,0.04,0.04,0.14,0,0.31,0.34
CA School 355,Antelope Valley Union High,Palmdale,93550,Los Angeles County,Yes,No,No,No,2523,107.8,23.3,0.81,0.16,0,0.01,0.77,0,0.02,0.04
CA School 356,Antelope Valley Union High,Littlerock,93543,Los Angeles County,Yes,No,No,No,1483,60.4,24.5,0.81,0.06,0,0,0.8,0,0.02,0.11
CA School 357,Da Vinci RISE High District,El Segundo,90245,Los Angeles County,Yes,Yes,No,Yes,132,9.1,14.5,0.7,0.29,0,0,0.61,0,0.06,0.04
CA School 358,San Diego Unified,San Diego,92111,San Diego County,Yes,No,No,No,315,29.4,10.6,0.81,0.09,0.01,0.07,0.66,0,0.06,0.12
CA School 359,Oakland Unified,Oakland,94603,Alameda County,Yes,No,No,No,774,43.9,17.5,0.94,0.15,0,0.01,0.81,0.01,0.01,0.01
CA School 360,Riverside Unified,Riverside,92506,Riverside County,No,No,No,No,253,9.1,27.6,0.56,0.05,0,0.01,0.57,0,0.03,0.33
CA School 361,Upper Lake Unified,Upper Lake,95485,Lake County,Yes,No,No,No,293,14.5,20.1,0.6,0.01,0.09,0.01,0.32,0,0.07,0.5
CA School 362,Big Oak Flat-Groveland Unified,La Grange,95329,Tuolumne County,Yes,No,No,No,51,5,10.2,0.55,0,0.02,0,0.22,0,0.06,0.71
CA School 363,Central Union High,El Centro,92243,Imperial County,Yes,No,No,No,144,9.7,14.8,0.83,0.01,0,0,0.98,0.01,0,0.01
CA School 364,Magnolia Science Academy 4 District,Los Angeles,90064,Los Angeles County,Yes,Yes,No,No,176,9.8,17.9,0.7,0.18,0,0.01,0.77,0,0,0.05
CA School 365,Olive Grove Charter - Lompoc District,Lompoc,93436,Santa Barbara County,Yes,Yes,No,No,117,8.6,13.6,0.74,0.01,0.02,0,0.74,0,0.08,0.15
CA School 366,Diego Hills Central Public Charter District,San Diego,92115,San Diego County,(n/a),Yes,No,No,748,34.1,21.9,0.82,0.14,0,0.03,0.63,0,0.06,0.13
CA School 367,Mojave River Academy - Silver Mountain District,Barstow,92311,San Bernardino County,(n/a),Yes,No,No,363,15.3,23.5,0.75,0.09,0.02,0,0.44,0,0.06,0.4
CA School 368,Rim of the World Unified,Lake Arrowhead,92325,San Bernardino County,Yes,No,No,No,55,3,18.3,0.71,0,0,0,0.38,0,0.04,0.58
CA School 369,East Side Union High,San Jose,95133,Santa Clara County,Yes,No,No,No,114,6,19,0.53,0.08,0.02,0.12,0.66,0.02,0.04,0.07
CA School 370,Los Angeles Unified,Van Nuys,91401,Los Angeles County,Yes,No,No,No,120,6,20,0.98,0.06,0,0.01,0.87,0,0,0.07
CA School 371,Stockton Unified,Stockton,95202,San Joaquin County,Yes,No,No,No,205,4.3,47.2,0.82,0.12,0.06,0.03,0.71,0.01,0,0.06
CA School 372,Long Beach Unified,Long Beach,90813,Los Angeles County,No,No,No,No,807,18,44.8,0.56,0.17,0,0.04,0.67,0.02,0.02,0.09
CA School 373,San Juan Unified,Fair Oaks,95628,Sacramento County,Yes,No,No,No,53,2,25.7,0.62,0.09,0.04,0.04,0.19,0.06,0.04,0.55
CA School 374,Fillmore Unified,Fillmore,93015,Ventura County,Yes,No,No,No,55,4.1,13.4,0.89,0,0,0,0.96,0,0,0.04
CA School 375,Orange County Workforce Innovation High District,Anaheim,92801,Orange County,(n/a),Yes,No,No,209,8.5,24.5,0.79,0.03,0.01,0.03,0.75,0,0.04,0.13
CA School 376,Nevada Joint Union High,Grass Valley,95945,Nevada County,No,No,No,No,32,2,16,0.38,0.03,0,0.03,0.03,0,0.03,0.88
CA School 377,Oroville Union High,Oroville,95965,Butte County,Yes,No,No,No,109,8.6,12.6,0.95,0.06,0.09,0.05,0.3,0,0.04,0.47
CA School 378,Alpaugh Unified,Alpaugh,93201,Tulare County,Yes,No,No,No,78,6.1,12.6,0.95,0,0,0,0.94,0,0,0.06
CA School 379,Los Angeles Unified,Los Angeles,90036,Los Angeles County,Yes,No,No,No,70,3,23.3,0.66,0.13,0,0.09,0.74,0,0,0.04
CA School 380,Calexico Unified,Calexico,92231,Imperial County,Yes,No,No,No,164,11,14.9,0.95,0,0,0,1,0,0,0
CA School 381,Leadership Military Academy - Indio District,Indio,92201,Riverside County,Yes,Yes,No,No,93,7,13.2,0.85,0,0.01,0,0.97,0,0,0.02
CA School 382,Elk Grove Unified,Sacramento,95823,Sacramento County,Yes,No,No,No,138,10,13.8,0.7,0.24,0.01,0.05,0.51,0.02,0.12,0.05
CA School 383,Folsom-Cordova Unified,Folsom,95630,Sacramento County,No,No,No,No,97,8.6,11.2,0.38,0.02,0,0.09,0.27,0,0.06,0.56
CA School 384,SIATech District,Oceanside,92056,San Diego County,Yes,Yes,No,No,1137,38,29.8,0.86,0.14,0.01,0.03,0.68,0,0.07,0.07
CA School 385,Jefferson Union High,Daly City,94014,San Mateo County,No,No,No,No,124,9.2,13.4,0.36,0.04,0,0.19,0.52,0.01,0.09,0.15
CA School 386,San Diego Unified,San Diego,92101,San Diego County,Yes,No,Yes,No,531,28.1,18.8,0.82,0.06,0,0.01,0.86,0,0.02,0.05
CA School 387,Kings Valley Academy II District,Hanford,93280,Kings County,(n/a),Yes,No,No,849,35.2,24,0.88,0.03,0.01,0.01,0.75,0,0.03,0.17
CA School 388,Riverside Unified,Riverside,92506,Riverside County,Yes,No,No,No,42,3.4,12.3,0.79,0.14,0,0,0.6,0,0.05,0.21
CA School 389,Alain Leroy Locke College Preparatory Academy District,Los Angeles,90061,Los Angeles County,Yes,Yes,No,No,1393,76,18.3,0.96,0.24,0,0,0.76,0,0,0
CA School 390,Sutter Union High,Sutter,95982,Sutter County,Yes,No,No,No,36,1.9,18,0.56,0,0.08,0,0.39,0,0,0.53
CA School 391,Pasadena Unified,Pasadena,91107,Los Angeles County,Yes,No,No,No,205,9.2,22.2,0.52,0.09,0,0.03,0.71,0,0.03,0.14
CA School 392,Lemoore Union High,Lemoore,93245,Kings County,Yes,No,No,No,100,7,14.2,0.79,0.04,0.07,0,0.75,0,0,0.14
CA School 393,Los Angeles Unified,Chatsworth,91311,Los Angeles County,Yes,No,No,No,70,5.5,12.7,0.96,0.21,0,0,0.67,0,0.01,0.1
CA School 394,Ojai Unified,Ojai,93023,Ventura County,Yes,No,No,No,58,2.9,19.8,0.66,0,0,0,0.29,0,0,0.71
CA School 395,Val Verde Unified,Perris,92571,Riverside County,Yes,No,No,No,270,25,10.8,0.84,0.18,0.01,0.03,0.74,0,0.01,0.03
CA School 396,Tahoe-Truckee Unified,Truckee,96161,Nevada County,Yes,No,No,No,50,3.6,13.8,0.58,0,0,0,0.66,0,0,0.34
CA School 397,Snowline Joint Unified,Phelan,92329,San Bernardino County,Yes,No,No,No,159,7.8,20.1,0.71,0.04,0,0.01,0.47,0,0.14,0.35
CA School 398,Burbank Unified,Burbank,91506,Los Angeles County,No,No,No,No,141,9,15.6,0.49,0.02,0,0.02,0.59,0,0.03,0.34
CA School 399,America's Finest Charter District,San Diego,92102,San Diego County,Yes,Yes,No,No,446,25,17.8,0.96,0.2,0,0.04,0.7,0.01,0,0.04
CA School 400,Gridley Unified,Gridley,95948,Butte County,Yes,No,No,No,33,1.9,17.3,0.64,0,0,0,0.39,0,0.09,0.52
CA School 401,San Benito High,Hollister,95023,San Benito County,Yes,No,No,No,103,3.9,26,0.79,0.01,0,0.01,0.87,0,0.01,0.1
CA School 402,San Jacinto Unified,San Jacinto,92582,Riverside County,Yes,No,No,No,250,11,22.7,0.79,0.12,0.02,0,0.73,0,0.03,0.09
CA School 403,Yucaipa-Calimesa Joint Unified,Yucaipa,92399,San Bernardino County,Yes,No,No,No,82,7.2,11.3,0.92,0.05,0.01,0.01,0.62,0,0.01,0.29
CA School 404,Woodlake Unified,Visalia,93292,Tulare County,Yes,No,No,No,22,1.6,13.7,0.86,0,0,0,0.96,0,0,0.05
CA School 405,Santa Clara County Office of Education,San Jose,95131,Santa Clara County,Yes,Yes,No,No,291,9,32.3,0.81,0.05,0.01,0.01,0.87,0.01,0.01,0.05
CA School 406,Los Angeles Unified,Los Angeles,90021,Los Angeles County,Yes,No,No,No,559,27,20.7,0.86,0.1,0.01,0.01,0.85,0,0,0.03
CA School 407,Redlands Unified,Redlands,92374,San Bernardino County,Yes,No,No,No,208,18.5,11.2,0.89,0.07,0.01,0.02,0.71,0.01,0.03,0.16
CA School 408,South San Francisco Unified,South San Francisco,94080,San Mateo County,No,No,No,No,107,6.7,15.9,0.5,0.04,0,0.12,0.74,0.04,0.02,0.05
CA School 409,Mojave River Academy - Rockview Park District,Hesperia,92345,San Bernardino County,(n/a),Yes,No,No,111,10.4,10.6,0.87,0.09,0,0,0.67,0,0.04,0.21
CA School 410,San Lorenzo Unified,Hayward,94541,Alameda County,No,No,No,No,105,7.8,13.4,0.59,0.25,0.01,0.05,0.63,0,0.02,0.05
CA School 411,Linden Unified,Stockton,95215,San Joaquin County,No,No,No,No,45,2.3,19.3,0.73,0.04,0,0.04,0.73,0,0,0.18
CA School 412,Los Angeles Unified,Canoga Park,91303,Los Angeles County,Yes,No,No,No,106,6.5,16.3,0.93,0.01,0,0.02,0.93,0,0,0.04
CA School 413,Pomona Unified,Pomona,91767,Los Angeles County,Yes,Yes,No,No,398,15.7,25.2,0.93,0.06,0,0,0.84,0,0.04,0.06
CA School 414,Cuyama Joint Unified,New Cuyama,93254,Santa Barbara County,Yes,No,No,No,47,6.2,7.5,0.81,0,0,0,0.87,0,0.02,0.11
CA School 415,Selma Unified,Selma,93662,Fresno County,Yes,No,No,No,63,5.6,11.1,0.84,0.02,0,0,0.95,0,0,0.03
CA School 416,Delano Joint Union High,Delano,93215,Kern County,Yes,No,No,No,97,8.4,11.5,0.95,0.01,0,0.04,0.95,0,0,0
CA School 417,Garden Grove Unified,Garden Grove,92841,Orange County,Yes,No,No,No,238,14,17,0.78,0,0,0.06,0.83,0.02,0.01,0.08
CA School 418,Windsor Unified,Windsor,95492,Sonoma County,Yes,No,No,No,87,9.8,8.8,0.41,0,0.03,0,0.52,0,0.02,0.43
CA School 419,Oakland Unified,Oakland,94609,Alameda County,Yes,No,No,No,107,4.5,23.7,0.86,0.47,0,0.03,0.43,0,0.05,0.03
CA School 420,Lucia Mar Unified,Arroyo Grande,93420,San Luis Obispo County,Yes,No,No,No,105,8.5,12.2,0.82,0.01,0,0.01,0.57,0.02,0.01,0.38
CA School 421,Modesto City High,Modesto,95350,Stanislaus County,Yes,No,No,No,505,39.5,12.7,0.77,0.06,0.01,0.03,0.71,0.01,0.06,0.13
CA School 422,Moreno Valley Unified,Moreno Valley,92553,Riverside County,Yes,No,No,No,334,19.7,16.9,0.84,0.22,0.01,0.01,0.68,0.01,0.01,0.08
CA School 423,Hemet Unified,Hemet,92543,Riverside County,Yes,No,No,No,329,18,18.2,0.88,0.14,0.02,0.01,0.62,0,0.05,0.17
CA School 424,Rowland Unified,La Puente,91744,Los Angeles County,Yes,No,No,No,162,10.8,14.9,0.85,0.01,0.01,0.04,0.92,0,0,0.02
CA School 425,East Side Union High,San Jose,95122,Santa Clara County,Yes,No,No,No,151,8,18.8,0.82,0.02,0.01,0.04,0.91,0,0,0.03
CA School 426,Placer Union High,Auburn,95603,Placer County,Yes,No,No,No,72,3,24,0.6,0,0.06,0.01,0.31,0,0.06,0.57
CA School 427,Ceres Unified,Ceres,95307,Stanislaus County,Yes,No,No,No,215,7.6,28,0.83,0.01,0.01,0.02,0.79,0.01,0.01,0.14
CA School 428,Los Angeles Unified,Reseda,91335,Los Angeles County,Yes,No,No,No,99,6,16.5,0.94,0.02,0,0.03,0.9,0.02,0,0.03
CA School 429,Beaumont Unified,Beaumont,92223,Riverside County,Yes,No,No,No,109,6.4,16.8,0.71,0.07,0.03,0,0.62,0,0.01,0.28
CA School 430,Alvord Unified,Riverside,92505,Riverside County,Yes,No,No,No,163,7.3,22,0.9,0.01,0,0,0.93,0,0.01,0.05
CA School 431,Dixon Unified,Dixon,95620,Solano County,No,No,No,No,83,5.4,15.3,0.64,0.01,0.01,0.01,0.59,0,0.04,0.34
CA School 432,Merced County Office of Education,Atwater,95301,Merced County,Yes,No,No,No,137,7.2,18.8,0.83,0.12,0,0.02,0.75,0,0.02,0.1
CA School 433,Santa Clara Unified,Santa Clara,95051,Santa Clara County,No,No,No,No,127,10.2,12.3,0.75,0.02,0,0.04,0.76,0.04,0.02,0.12
CA School 434,Los Angeles Unified,Los Angeles,90043,Los Angeles County,Yes,No,Yes,No,750,48.8,15.3,0.82,0.67,0,0.01,0.31,0,0,0.01
CA School 435,El Rancho Unified,Pico Rivera,90660,Los Angeles County,Yes,No,No,No,147,9.8,14.9,0.68,0,0,0,0.98,0,0,0.02
CA School 436,San Bernardino City Unified,Highland,92346,San Bernardino County,Yes,No,No,No,447,28,15.9,0.9,0.2,0,0,0.74,0,0,0.06
CA School 437,Golden Gate Community District,Pittsburg,94565,Contra Costa County,Yes,Yes,No,No,144,8,18,0.61,0.33,0,0.04,0.42,0.01,0.1,0.1
CA School 438,Optimist Charter District,Los Angeles,90042,Los Angeles County,Yes,Yes,No,No,70,12,5.8,0.9,0.3,0,0.01,0.57,0,0,0.11
CA School 439,Madera County Superintendent of Schools,Madera,93638,Madera County,Yes,Yes,No,No,358,17.6,20.3,0.88,0.02,0.01,0.01,0.73,0,0.12,0.11
CA School 440,Los Angeles Unified,Los Angeles,90016,Los Angeles County,Yes,No,No,No,64,4.5,14.2,0.81,0.28,0,0,0.69,0,0,0.03
CA School 441,Los Angeles Unified,South Gate,90280,Los Angeles County,Yes,No,No,No,190,8.5,22.3,0.93,0.03,0,0,0.97,0,0,0
CA School 442,Los Angeles Unified,Los Angeles,90063,Los Angeles County,Yes,No,No,No,48,4,12,0.98,0,0,0,1,0,0,0
CA School 443,Washington Unified,West Sacramento,95691,Yolo County,Yes,No,No,No,115,8,14.3,0.81,0.1,0.04,0.08,0.55,0.01,0.02,0.2
CA School 444,Denair Unified,Denair,95316,Stanislaus County,No,Yes,No,No,206,6.2,32.7,0.56,0.01,0.02,0,0.56,0,0.01,0.41
CA School 445,Desert Sands Unified,Indio,92201,Riverside County,Yes,No,No,No,211,18.1,11.6,0.89,0.01,0.01,0,0.93,0,0.02,0.04
CA School 446,Marconi Learning Academy District,Sacramento,95821,Sacramento County,(n/a),Yes,No,No,237,10,23.7,0.92,0.27,0.01,0.03,0.49,0.03,0.06,0.11
CA School 447,San Bernardino County Office of Education,San Bernardino,92415,San Bernardino County,Yes,No,No,No,1388,140.5,9.8,0.71,0.16,0.01,0.04,0.51,0.01,0.07,0.21
CA School 448,West Contra Costa Unified,Richmond,94801,Contra Costa County,Yes,No,No,No,313,12.4,25.2,0.75,0.2,0,0.07,0.65,0.01,0.02,0.04
CA School 449,Orange Unified,Orange,92867,Orange County,No,No,No,No,208,18.1,11.4,0.69,0.01,0,0.02,0.86,0,0.01,0.1
CA School 450,Alvord Unified,Riverside,92503,Riverside County,Yes,No,No,No,168,10,16.8,0.76,0.08,0,0.02,0.83,0.01,0.01,0.05
CA School 451,Los Angeles County Office of Education,Hawthorne,90250,Los Angeles County,Yes,No,No,No,218,16.4,13.2,0.84,0.16,0,0.01,0.77,0.01,0.01,0.04
CA School 452,Fresno Unified,Fresno,93727,Fresno County,Yes,No,No,No,493,16.1,30.6,0.94,0.12,0.01,0.09,0.73,0,0,0.04
CA School 453,Porterville Unified,Porterville,93257,Tulare County,Yes,No,No,No,165,9,18.3,0.82,0,0.07,0.01,0.73,0.01,0.03,0.15
CA School 454,Los Angeles Unified,Los Angeles,90028,Los Angeles County,Yes,No,No,No,94,6,15.6,0.81,0.01,0,0.01,0.96,0,0,0.02
CA School 455,Oakland Unified,Oakland,94606,Alameda County,Yes,No,No,No,229,15,15.2,0.87,0.52,0,0.04,0.36,0.02,0.05,0
CA School 456,Los Angeles Unified,Sylmar,91342,Los Angeles County,Yes,No,No,No,73,4.5,16.2,0.86,0.01,0,0,0.96,0,0,0.03
CA School 457,Galt Joint Union High,Galt,95632,Sacramento County,Yes,No,No,No,45,3,15,0.8,0,0,0,0.58,0,0.13,0.29
CA School 458,Santa Cruz County Office of Education,Santa Cruz,95060,Santa Cruz County,Yes,No,No,No,63,4,15.7,0.95,0,0,0,0.92,0,0.03,0.05
CA School 459,Fresno County Office of Education,Fresno,93725,Fresno County,Yes,No,No,No,242,21.5,11.2,0.98,0.24,0.02,0.02,0.61,0,0,0.11
CA School 460,Mt. Diablo Unified,Concord,94521,Contra Costa County,No,No,No,No,117,6.5,17.8,0.56,0.04,0,0.05,0.59,0.03,0.03,0.26
CA School 461,Los Angeles Unified,Los Angeles,90002,Los Angeles County,Yes,No,No,No,63,5,12.6,0.95,0.22,0,0,0.78,0,0,0
CA School 462,Rialto Unified,Rialto,92376,San Bernardino County,Yes,No,No,No,242,19.1,12.6,0.8,0.11,0,0.01,0.84,0.01,0.01,0.02
CA School 463,Coalinga-Huron Unified,Huron,93234,Fresno County,Yes,No,No,No,26,2,13,0.89,0,0,0.04,0.96,0,0,0
CA School 464,Kern High,Shafter,93263,Kern County,Yes,No,No,No,86,4.2,20.2,0.93,0.01,0.01,0,0.93,0,0,0.05
CA School 465,Chino Valley Unified,Chino Hills,91709,San Bernardino County,No,No,No,No,99,11.9,8.2,0.92,0.24,0,0.01,0.64,0,0.03,0.08
CA School 466,Carpinteria Unified,Carpinteria,93013,Santa Barbara County,No,No,No,No,30,1.6,18.7,0.7,0,0,0,0.9,0,0,0.1
CA School 467,Tulare Joint Union High,Tulare,93274,Tulare County,Yes,No,No,No,39,3.1,12.5,0.8,0.13,0,0,0.74,0,0,0.13
CA School 468,Santa Ana Unified,Santa Ana,92707,Orange County,Yes,No,No,No,385,16,24,0.88,0,0,0,0.99,0,0,0.01
CA School 469,Oxnard Union High,Camarillo,93010,Ventura County,Yes,No,No,No,313,23,13.6,0.94,0,0,0.01,0.94,0,0.01,0.04
CA School 470,Inglewood Unified,Inglewood,90301,Los Angeles County,Yes,No,No,No,92,4,23,0.92,0.35,0,0,0.64,0,0,0.01
CA School 471,Anderson Union High,Anderson,96007,Shasta County,Yes,No,No,No,54,4.3,12.5,0.74,0.02,0.06,0,0.19,0,0.06,0.69
CA School 472,Yosemite Unified,Oakhurst,93644,Madera County,Yes,No,No,No,33,1,33,0.73,0,0.15,0,0.27,0,0,0.58
CA School 473,Merced County Office of Education,Los Banos,93635,Merced County,Yes,No,No,No,86,5,17.2,0.92,0.01,0.01,0,0.88,0.02,0.01,0.06
CA School 474,Los Angeles Unified,Gardena,90248,Los Angeles County,Yes,No,No,No,43,1.5,28.6,0.84,0.14,0,0,0.81,0,0,0.05
CA School 475,Antelope Valley Union High,Lancaster,93535,Los Angeles County,Yes,No,No,No,48,8.4,5.7,0.79,0.35,0,0,0.54,0,0.06,0.04
CA School 476,San Pasqual Valley Unified,Winterhaven,92283,Imperial County,Yes,No,No,No,30,1,30,0.9,0,0.53,0,0.33,0,0.07,0.07
CA School 477,Fort Bragg Unified,Fort Bragg,95437,Mendocino County,Yes,No,No,No,20,2,10,0.85,0,0.05,0,0.25,0,0.1,0.6